layer,pca,val_loss,rouge1,rougeL,sentencebert,bleu
0,None,-0.9883,98.26,98.26,98.14,96.58
0,1,-0.8692,20.11,19.52,7.51,2.30
0,2,-0.8788,20.32,19.41,7.58,2.63
0,4,-0.9074,28.57,26.79,8.25,2.88
0,8,-0.9229,50.15,49.63,19.92,9.91
0,16,-0.9487,73.75,73.75,66.58,39.98
0,32,-0.9685,86.67,86.48,85.46,69.24
0,64,-0.9760,90.65,90.65,90.08,79.33
0,128,-0.9824,97.01,97.01,97.16,93.98
0,256,-0.9868,97.64,97.64,98.15,93.36
0,512,-0.9886,98.64,98.64,98.23,97.61
0,768,-0.9882,97.35,97.35,98.32,96.23
3,None,-0.9761,95.46,95.46,97.62,85.25
3,1,-0.8727,17.81,17.42,7.65,2.08
3,2,-0.8809,16.60,16.24,7.77,2.00
3,4,-0.9005,24.63,24.40,5.90,1.96
3,8,-0.9064,25.96,25.81,9.81,2.26
3,16,-0.9164,38.55,38.05,20.37,5.31
3,32,-0.9293,55.38,55.38,41.93,13.14
3,64,-0.9432,69.74,69.74,69.39,29.20
3,128,-0.9542,77.06,77.06,82.77,46.09
3,256,-0.9637,89.76,89.54,91.03,74.36
3,512,-0.9741,95.41,95.41,95.71,90.34
3,768,-0.9695,93.99,93.99,96.63,86.81
6,None,-0.9664,89.75,89.63,90.97,76.82
6,1,-0.8736,15.81,15.63,6.09,2.05
6,2,-0.8836,18.87,18.64,6.20,2.05
6,4,-0.8992,26.02,25.34,8.11,2.09
6,8,-0.9074,30.83,30.35,9.52,2.39
6,16,-0.9137,32.42,31.85,24.44,4.97
6,32,-0.9250,51.60,51.37,42.54,10.77
6,64,-0.9346,59.40,59.19,57.62,19.69
6,128,-0.9467,75.91,75.91,77.14,45.22
6,256,-0.9542,85.58,85.58,89.93,62.36
6,512,-0.9618,86.81,86.81,90.56,69.56
6,768,-0.9662,94.41,94.41,96.59,86.50
9,None,-0.9591,88.69,88.69,91.61,69.48
9,1,-0.8714,19.19,17.83,8.54,2.30
9,2,-0.8760,15.06,15.06,6.40,2.01
9,4,-0.8974,24.75,24.48,4.88,1.97
9,8,-0.9040,32.75,30.65,10.84,2.13
9,16,-0.9101,35.67,35.04,15.73,3.39
9,32,-0.9201,45.93,45.42,32.74,7.40
9,64,-0.9285,57.66,57.49,53.28,21.66
9,128,-0.9385,67.59,67.43,70.30,33.22
9,256,-0.9473,77.45,77.45,80.50,45.30
9,512,-0.9553,87.81,87.81,91.45,68.08
9,768,-0.9579,85.41,85.41,88.59,62.48
11,None,-0.9477,82.27,82.04,85.30,50.17
11,1,-0.8773,20.18,19.25,8.25,2.52
11,2,-0.8773,20.77,19.87,8.48,2.32
11,4,-0.8795,21.25,20.59,10.30,2.50
11,8,-0.8919,25.45,25.06,5.27,2.24
11,16,-0.8993,33.27,32.26,8.92,2.54
11,32,-0.9078,40.32,39.72,14.90,3.57
11,64,-0.9148,44.14,43.11,27.91,7.09
11,128,-0.9225,50.29,49.78,43.21,13.11
11,256,-0.9301,59.59,59.37,57.18,23.15
11,512,-0.9375,67.67,67.67,69.03,28.16
11,768,-0.9435,74.15,74.15,75.07,41.03
11,768,-0.9508,80.69,80.31,85.31,52.04
